symbol,no_tp_count,avg_pnl_pct,worst_pnl_pct,pct_liquidations,avg_drawdown_pct
SOLUSDT,12,-5.8972814115363335,-10.074954419609709,33.33333333333333,-7.737637309179926
ADAUSDT,16,-5.9779302101286484,-12.711193241816268,43.75,-8.624526418136249
LINKUSDT,10,-7.454875731187355,-15.378371628371616,70.0,-11.043961505664024
PENGUUSDT,8,-12.0578431199075,-23.39098159993683,100.0,-16.002485156245534
DOTUSDT,19,-5.207998383835931,-10.89059439581085,36.84210526315789,-7.70452990717671
ATOMUSDT,18,-5.898198467898499,-12.38370891048169,55.55555555555556,-7.986317295864778
ETHUSDT,12,-5.696715397716162,-10.654031186164211,50.0,-9.057830564965386
AVAXUSDT,14,-5.493159439397381,-10.8197484862599,50.0,-9.116972058014808
XRPUSDT,15,-3.7016370965330556,-6.926725924561317,6.666666666666667,-6.470862288874313
CROUSDT,18,-6.198954173306783,-10.550684661609692,33.33333333333333,-8.038536020717217
SUIUSDT,21,-6.786360228875763,-14.74891968410074,52.38095238095239,-10.46688461811047
XMRUSDT,7,-3.1214918103084437,-5.409325798555508,14.285714285714285,-6.657116621442955
SEIUSDT,7,-4.058151955439226,-7.688467299051421,28.57142857142857,-8.361922005782814
HBARUSDT,9,-6.346624905401455,-13.594997487577457,66.66666666666666,-10.283701050116738
BTCUSDT,12,-1.9244329188411353,-4.0485719371978295,0.0,-3.1653567722346043
DOGEUSDT,10,-5.958695321931939,-10.51210191082803,70.0,-10.921588365376357
