symbol,trades,wins,losses,win_rate,total_pct
SOLUSDT,97,75,22,0.7731958762886598,-5.407555624979157
BTCUSDT,52,46,6,0.8846153846153846,6.717116351059022
ETHUSDT,82,65,17,0.7926829268292683,-2.387362619071836
XRPUSDT,89,81,8,0.9101123595505618,17.08000825267377
ATOMUSDT,73,58,15,0.7945205479452054,-1.6350235408215612
HBARUSDT,82,65,17,0.7926829268292683,-0.08300238319250242
CROUSDT,68,51,17,0.75,-3.240082798032645
SUIUSDT,78,66,12,0.8461538461538461,6.860168580511319
LINKUSDT,93,77,16,0.8279569892473119,4.272576502083314
ADAUSDT,71,62,9,0.8732394366197183,9.497464491952258
