symbol,trades,wins,losses,win_rate,total_pct
SOLUSDT,80,68,12,0.85,7.793992810127131
BTCUSDT,52,46,6,0.8846153846153846,6.717116351059022
ETHUSDT,82,65,17,0.7926829268292683,-2.387362619071836
XRPUSDT,89,81,8,0.9101123595505618,17.08000825267377
ATOMUSDT,73,58,15,0.7945205479452054,-1.6350235408215612
HBARUSDT,82,65,17,0.7926829268292683,-0.08300238319250242
CROUSDT,53,44,9,0.8301886792452831,4.359836540954521
SUIUSDT,78,66,12,0.8461538461538461,6.860168580511319
LINKUSDT,93,77,16,0.8279569892473119,4.272576502083314
ADAUSDT,71,62,9,0.8732394366197183,9.497464491952258
