entry_ts,exit_ts,pnl_pct
2025-06-14 00:00:00+00:00,2025-06-14 13:00:00+00:00,0.5
2025-06-14 13:00:00+00:00,2025-06-14 16:00:00+00:00,-1.5
2025-06-14 17:00:00+00:00,2025-06-14 17:30:00+00:00,0.5
2025-06-15 13:30:00+00:00,2025-06-15 14:30:00+00:00,0.5
2025-06-19 08:00:00+00:00,2025-06-19 09:00:00+00:00,0.5
2025-06-19 09:00:00+00:00,2025-06-19 09:30:00+00:00,0.5
2025-06-22 20:30:00+00:00,2025-06-22 21:00:00+00:00,0.5
2025-06-24 08:00:00+00:00,2025-06-24 09:00:00+00:00,0.5
2025-06-24 19:30:00+00:00,2025-06-24 20:30:00+00:00,0.5
2025-06-25 02:00:00+00:00,2025-06-25 02:30:00+00:00,0.5
2025-06-27 01:00:00+00:00,2025-06-27 01:30:00+00:00,0.5
2025-06-27 14:30:00+00:00,2025-06-27 15:30:00+00:00,0.5
2025-06-28 07:30:00+00:00,2025-06-28 09:30:00+00:00,0.5
2025-06-28 09:30:00+00:00,2025-06-28 10:00:00+00:00,0.5
2025-06-30 16:30:00+00:00,2025-06-30 17:00:00+00:00,0.5
2025-07-02 01:00:00+00:00,2025-07-02 01:30:00+00:00,0.5
