entry_ts,exit_ts,pnl_pct
2025-06-13 19:00:00+00:00,2025-06-13 20:00:00+00:00,0.5
2025-06-14 12:30:00+00:00,2025-06-14 13:00:00+00:00,0.5
2025-06-14 13:00:00+00:00,2025-06-14 15:00:00+00:00,-1.5
2025-06-19 08:30:00+00:00,2025-06-19 09:00:00+00:00,0.5
2025-06-21 17:30:00+00:00,2025-06-21 18:30:00+00:00,-1.5
2025-06-30 07:30:00+00:00,2025-06-30 08:00:00+00:00,0.5
2025-06-30 12:00:00+00:00,2025-06-30 12:30:00+00:00,0.5
2025-07-01 04:30:00+00:00,2025-07-01 07:00:00+00:00,-1.5
2025-07-01 14:30:00+00:00,2025-07-01 15:00:00+00:00,0.5
2025-07-03 00:00:00+00:00,2025-07-03 00:30:00+00:00,0.5
