entry_ts,exit_ts,pnl_pct
2025-06-14 19:30:00+00:00,2025-06-14 20:00:00+00:00,0.5
2025-06-16 12:30:00+00:00,2025-06-16 13:00:00+00:00,0.5
2025-06-17 01:00:00+00:00,2025-06-17 01:30:00+00:00,0.5
2025-06-17 10:30:00+00:00,2025-06-17 11:00:00+00:00,0.5
2025-06-18 14:00:00+00:00,2025-06-18 14:30:00+00:00,0.5
2025-06-19 14:00:00+00:00,2025-06-19 14:30:00+00:00,0.5
2025-06-21 12:00:00+00:00,2025-06-21 12:30:00+00:00,0.5
2025-06-21 18:00:00+00:00,2025-06-21 20:00:00+00:00,-1.5
2025-06-23 10:30:00+00:00,2025-06-23 11:00:00+00:00,0.5
2025-06-24 20:00:00+00:00,2025-06-24 20:30:00+00:00,0.5
2025-06-25 11:00:00+00:00,2025-06-25 11:30:00+00:00,0.5
2025-06-25 21:30:00+00:00,2025-06-25 22:30:00+00:00,-1.5
2025-06-26 11:30:00+00:00,2025-06-26 20:00:00+00:00,-1.5
2025-06-27 18:00:00+00:00,2025-06-27 18:30:00+00:00,-1.5
2025-06-28 11:30:00+00:00,2025-06-28 12:30:00+00:00,-1.5
2025-06-30 10:30:00+00:00,2025-06-30 11:00:00+00:00,0.5
2025-06-30 15:00:00+00:00,2025-06-30 15:30:00+00:00,0.5
2025-07-01 10:00:00+00:00,2025-07-01 10:30:00+00:00,0.5
