symbol,trades,wins,losses,avg_pct,total_pct
SOLUSDT,15,14,1,0.36666666666666664,5.5
BTCUSDT,9,9,0,0.5,4.5
ETHUSDT,15,12,3,0.1,1.5
ADAUSDT,14,11,3,0.07142857142857142,1.0
LINKUSDT,14,12,2,0.21428571428571427,3.0
XRPUSDT,13,12,1,0.34615384615384615,4.5
AVAXUSDT,19,15,4,0.07894736842105263,1.5
DOTUSDT,16,12,4,0.0,0.0
ATOMUSDT,16,15,1,0.375,6.0
HBARUSDT,24,24,0,0.5,12.0
CROUSDT,11,10,1,0.3181818181818182,3.5
XMRUSDT,18,13,5,-0.05555555555555555,-1.0
SEIUSDT,10,7,3,-0.1,-1.0
SUIUSDT,9,8,1,0.2777777777777778,2.5
