symbol,trades,wins,losses,win_rate,avg_max_dd_winners
SOLUSDT,98,95,3,0.9693877551020408,-0.7807130400088242
BTCUSDT,52,52,0,1.0,-0.5345204348752575
ETHUSDT,84,82,2,0.9761904761904762,-0.8145995072090061
XRPUSDT,91,89,2,0.978021978021978,-0.39707367468589316
ATOMUSDT,73,68,5,0.9315068493150684,-0.9455477318528115
HBARUSDT,84,78,6,0.9285714285714286,-0.5971364626324894
CROUSDT,69,68,1,0.9855072463768116,-0.9780057277128106
SUIUSDT,80,79,1,0.9875,-0.6753127967279106
LINKUSDT,95,93,2,0.9789473684210527,-0.5289647126825892
ADAUSDT,72,72,0,1.0,-0.6346031176709995
