ts,open,high,low,close,vol,turn
2025-03-31 12:15:00+00:00,13.149,13.226,13.124,13.215,106441.9,1401137.3991
2025-03-31 12:30:00+00:00,13.215,13.31,13.199,13.301,76145.0,1008757.8552
2025-03-31 12:45:00+00:00,13.301,13.465,13.276,13.376,287136.5,3844112.6223
2025-03-31 13:00:00+00:00,13.376,13.404,13.34,13.344,90031.6,1204233.6436
2025-03-31 13:15:00+00:00,13.344,13.406,13.339,13.365,89765.5,1200420.2319
2025-03-31 13:30:00+00:00,13.365,13.386,13.173,13.2,194660.1,2578772.6931
2025-03-31 13:45:00+00:00,13.2,13.349,13.131,13.297,125657.2,1663506.5761
2025-03-31 14:00:00+00:00,13.297,13.486,13.297,13.456,155110.0,2081463.3222
2025-03-31 14:15:00+00:00,13.456,13.52,13.371,13.422,185034.5,2488087.0749
2025-03-31 14:30:00+00:00,13.422,13.573,13.422,13.512,140284.7,1894314.0496
2025-03-31 14:45:00+00:00,13.512,13.648,13.512,13.59,126388.4,1718621.5484
2025-03-31 15:00:00+00:00,13.59,13.68,13.545,13.56,223838.2,3047085.0733
2025-03-31 15:15:00+00:00,13.56,13.686,13.547,13.606,98781.7,1345087.0009
2025-03-31 15:30:00+00:00,13.606,13.643,13.568,13.57,54417.8,740025.9671
2025-03-31 15:45:00+00:00,13.57,13.64,13.533,13.545,69020.2,936818.0789
2025-03-31 16:00:00+00:00,13.545,13.609,13.493,13.51,97470.6,1319871.3743
2025-03-31 16:15:00+00:00,13.51,13.622,13.492,13.619,113535.2,1538232.3065
2025-03-31 16:30:00+00:00,13.619,13.631,13.57,13.596,66778.6,908361.1905
2025-03-31 16:45:00+00:00,13.596,13.64,13.551,13.559,41050.2,558238.1278
2025-03-31 17:00:00+00:00,13.559,13.654,13.546,13.639,134255.7,1830107.6962
2025-03-31 17:15:00+00:00,13.639,13.643,13.542,13.551,76740.5,1041721.3084
2025-03-31 17:30:00+00:00,13.551,13.576,13.42,13.433,154444.0,2083659.3503
2025-03-31 17:45:00+00:00,13.433,13.498,13.404,13.471,82731.0,1113269.4131
